"original_row","filename","predicted_class","confidence","sign_name"
"73","00073.png","34","0.96094149","좌회전 지시"
"74","00074.png","5","0.89707524","제한속도 80km/h"
"75","00075.png","12","0.89105713","우선도로"
"76","00076.png","1","0.62101239","제한속도 30km/h"
"77","00077.png","10","0.90957558","3.5톤 초과 차량 추월 금지"
"78","00078.png","25","0.89021331","도로 공사"
"79","00079.png","25","0.91950631","도로 공사"
"80","00080.png","21","0.97950315","연속 굽은도로"
"81","00081.png","33","0.94529784","우회전 지시"
"82","00082.png","25","0.91973692","도로 공사"
"83","00083.png","7","0.94975871","제한속도 100km/h"
"84","00084.png","10","0.90682167","3.5톤 초과 차량 추월 금지"
"85","00085.png","35","0.94354582","직진 지시"
"86","00086.png","3","0.90272391","제한속도 60km/h"
"87","00087.png","7","0.93803692","제한속도 100km/h"
"88","00088.png","22","0.95280105","노면 요철"
"89","00089.png","13","0.92570961","양보"
"90","00090.png","3","0.92094284","제한속도 60km/h"
"91","00091.png","1","0.91179043","제한속도 30km/h"
"92","00092.png","2","0.87449050","제한속도 50km/h"
"93","00093.png","14","0.94761837","정지"
"94","00094.png","12","0.91874272","우선도로"
"95","00095.png","32","0.97450656","모든 속도·추월 제한 해제"
"96","00096.png","3","0.91838080","제한속도 60km/h"
"97","00097.png","38","0.91124558","우측 통행"
"98","00098.png","9","0.93339443","추월 금지"
"99","00099.png","33","0.94400227","우회전 지시"
"100","00100.png","1","0.92238003","제한속도 30km/h"
"101","00101.png","10","0.90367353","3.5톤 초과 차량 추월 금지"
"102","00102.png","5","0.94183594","제한속도 80km/h"
"103","00103.png","11","0.93746620","다음 교차로 우선권"
"104","00104.png","33","0.91814804","우회전 지시"
"105","00105.png","4","0.91032082","제한속도 70km/h"
"106","00106.png","35","0.94129276","직진 지시"
"107","00107.png","25","0.93753392","도로 공사"
"108","00108.png","33","0.94646603","우회전 지시"
"109","00109.png","4","0.90135324","제한속도 70km/h"
"110","00110.png","1","0.76570827","제한속도 30km/h"
"111","00111.png","14","0.94011390","정지"
"112","00112.png","16","0.97386658","3.5톤 초과 차량 통행 금지"
"113","00113.png","10","0.90999067","3.5톤 초과 차량 추월 금지"
"114","00114.png","31","0.80762398","야생동물 출현 주의"
"115","00115.png","3","0.91884226","제한속도 60km/h"
"116","00116.png","27","0.96475339","보행자 주의"
"117","00117.png","31","0.53046948","야생동물 출현 주의"
"118","00118.png","1","0.90655774","제한속도 30km/h"
"119","00119.png","17","0.92042547","진입 금지"
"120","00120.png","13","0.89138365","양보"
"121","00121.png","7","0.93017256","제한속도 100km/h"
"122","00122.png","1","0.91325086","제한속도 30km/h"
"123","00123.png","8","0.93504900","제한속도 120km/h"
"124","00124.png","2","0.90003723","제한속도 50km/h"
"125","00125.png","10","0.90936577","3.5톤 초과 차량 추월 금지"
"126","00126.png","10","0.91623008","3.5톤 초과 차량 추월 금지"
"127","00127.png","11","0.64432174","다음 교차로 우선권"
"128","00128.png","1","0.90057802","제한속도 30km/h"
"129","00129.png","6","0.93696183","제한속도 80km/h 해제"
"130","00130.png","36","0.96432066","직진 또는 우회전 지시"
"131","00131.png","3","0.90366066","제한속도 60km/h"
"132","00132.png","14","0.93279868","정지"
"133","00133.png","13","0.91371757","양보"
"134","00134.png","11","0.88981301","다음 교차로 우선권"
"135","00135.png","10","0.88605762","3.5톤 초과 차량 추월 금지"
"136","00136.png","18","0.94791329","일반 위험 주의"
"137","00137.png","40","0.83133030","회전교차로"
"138","00138.png","2","0.86984873","제한속도 50km/h"
"139","00139.png","38","0.88226330","우측 통행"
"140","00140.png","41","0.94926465","추월 금지 해제"
"141","00141.png","4","0.91047293","제한속도 70km/h"
"142","00142.png","6","0.94895548","제한속도 80km/h 해제"
"143","00143.png","18","0.94355309","일반 위험 주의"
"144","00144.png","17","0.94719738","진입 금지"
"145","00145.png","25","0.92430460","도로 공사"
"146","00146.png","2","0.89498210","제한속도 50km/h"
"147","00147.png","41","0.95389503","추월 금지 해제"
"148","00148.png","11","0.91749847","다음 교차로 우선권"
"149","00149.png","21","0.97674280","연속 굽은도로"
"150","00150.png","7","0.88607615","제한속도 100km/h"
"151","00151.png","24","0.59253722","우측 차로 폭 감소"
"152","00152.png","11","0.94465637","다음 교차로 우선권"
"153","00153.png","25","0.93553007","도로 공사"
"154","00154.png","17","0.95037460","진입 금지"
"155","00155.png","3","0.90563697","제한속도 60km/h"
"156","00156.png","6","0.92566139","제한속도 80km/h 해제"
"157","00157.png","9","0.86752576","추월 금지"
"158","00158.png","7","0.94041657","제한속도 100km/h"
"159","00159.png","4","0.93956929","제한속도 70km/h"
"160","00160.png","13","0.89963716","양보"
"161","00161.png","16","0.98199952","3.5톤 초과 차량 통행 금지"
"162","00162.png","4","0.91769874","제한속도 70km/h"
"163","00163.png","25","0.59004450","도로 공사"
"164","00164.png","18","0.93090504","일반 위험 주의"
"165","00165.png","9","0.93033826","추월 금지"
"166","00166.png","13","0.91711372","양보"
"167","00167.png","14","0.94516015","정지"
"168","00168.png","29","0.96760911","자전거 횡단 주의"
"169","00169.png","17","0.93918103","진입 금지"
"170","00170.png","13","0.90882164","양보"
"171","00171.png","38","0.90054733","우측 통행"
"172","00172.png","26","0.93155748","신호등 주의"
"173","00173.png","25","0.94433933","도로 공사"
"174","00174.png","33","0.97585505","우회전 지시"
"175","00175.png","1","0.92867893","제한속도 30km/h"
"176","00176.png","3","0.94733161","제한속도 60km/h"
"177","00177.png","40","0.91766191","회전교차로"
"178","00178.png","13","0.90402597","양보"
"179","00179.png","2","0.86976713","제한속도 50km/h"
"180","00180.png","8","0.92223746","제한속도 120km/h"
"181","00181.png","4","0.92787212","제한속도 70km/h"
"182","00182.png","36","0.98030281","직진 또는 우회전 지시"
"183","00183.png","25","0.93165588","도로 공사"
"184","00184.png","19","0.76515591","좌측 위험 굽은도로"
"185","00185.png","25","0.91775995","도로 공사"
"186","00186.png","18","0.95222640","일반 위험 주의"
"187","00187.png","1","0.92588806","제한속도 30km/h"
"188","00188.png","10","0.89239097","3.5톤 초과 차량 추월 금지"
"189","00189.png","8","0.94486994","제한속도 120km/h"
"190","00190.png","10","0.93462145","3.5톤 초과 차량 추월 금지"
"191","00191.png","29","0.97906727","자전거 횡단 주의"
"192","00192.png","12","0.89458358","우선도로"
"193","00193.png","38","0.87053794","우측 통행"
"194","00194.png","31","0.92856359","야생동물 출현 주의"
"195","00195.png","2","0.89426339","제한속도 50km/h"
"196","00196.png","8","0.97197390","제한속도 120km/h"
"197","00197.png","38","0.83720696","우측 통행"
"198","00198.png","31","0.90915614","야생동물 출현 주의"
"199","00199.png","28","0.97531432","어린이 보호"
"200","00200.png","17","0.93291777","진입 금지"
"201","00201.png","9","0.90140343","추월 금지"
"202","00202.png","4","0.91077662","제한속도 70km/h"
"203","00203.png","1","0.92805701","제한속도 30km/h"
"204","00204.png","17","0.94799554","진입 금지"
"205","00205.png","9","0.91337234","추월 금지"
"206","00206.png","2","0.92008591","제한속도 50km/h"
"207","00207.png","31","0.94891554","야생동물 출현 주의"
"208","00208.png","13","0.92203724","양보"
"209","00209.png","15","0.94680625","모든 차량 통행 금지"
"210","00210.png","15","0.94704419","모든 차량 통행 금지"
"211","00211.png","38","0.92347920","우측 통행"
"212","00212.png","25","0.91351599","도로 공사"
"213","00213.png","5","0.94218242","제한속도 80km/h"
"214","00214.png","25","0.92587715","도로 공사"
"215","00215.png","13","0.92693263","양보"
"216","00216.png","10","0.89737141","3.5톤 초과 차량 추월 금지"
"217","00217.png","5","0.91280574","제한속도 80km/h"
"218","00218.png","4","0.92561305","제한속도 70km/h"
"219","00219.png","10","0.89458388","3.5톤 초과 차량 추월 금지"
"220","00220.png","2","0.88199818","제한속도 50km/h"
"221","00221.png","4","0.91635203","제한속도 70km/h"
"222","00222.png","5","0.93836218","제한속도 80km/h"
"223","00223.png","1","0.90551865","제한속도 30km/h"
"224","00224.png","14","0.93880063","정지"
"225","00225.png","12","0.91761452","우선도로"
"226","00226.png","12","0.93160784","우선도로"
"227","00227.png","5","0.93050098","제한속도 80km/h"
"228","00228.png","8","0.94422644","제한속도 120km/h"
"229","00229.png","36","0.97687519","직진 또는 우회전 지시"
"230","00230.png","25","0.92875683","도로 공사"
"231","00231.png","13","0.89682299","양보"
"232","00232.png","33","0.92832875","우회전 지시"
"233","00233.png","18","0.95394981","일반 위험 주의"
"234","00234.png","33","0.96975774","우회전 지시"
"235","00235.png","19","0.99538761","좌측 위험 굽은도로"
"236","00236.png","12","0.91203344","우선도로"
"237","00237.png","20","0.81208175","우측 위험 굽은도로"
"238","00238.png","4","0.92725837","제한속도 70km/h"
"239","00239.png","18","0.95699024","일반 위험 주의"
"240","00240.png","12","0.90777069","우선도로"
"241","00241.png","13","0.91929144","양보"
"242","00242.png","19","0.83154708","좌측 위험 굽은도로"
"243","00243.png","0","0.82206899","제한속도 20km/h"
"244","00244.png","10","0.92420024","3.5톤 초과 차량 추월 금지"
"245","00245.png","40","0.89121640","회전교차로"
"246","00246.png","5","0.92193288","제한속도 80km/h"
"247","00247.png","8","0.85633481","제한속도 120km/h"
"248","00248.png","12","0.95585561","우선도로"
"249","00249.png","38","0.93167752","우측 통행"
"250","00250.png","20","0.97358334","우측 위험 굽은도로"
"251","00251.png","14","0.95458496","정지"
"252","00252.png","0","0.84220576","제한속도 20km/h"
"253","00253.png","36","0.97896725","직진 또는 우회전 지시"
"254","00254.png","34","0.95947748","좌회전 지시"
"255","00255.png","28","0.96456772","어린이 보호"
"256","00256.png","35","0.96102548","직진 지시"
"257","00257.png","13","0.90649122","양보"
"258","00258.png","25","0.94345909","도로 공사"
"259","00259.png","15","0.94160593","모든 차량 통행 금지"
"260","00260.png","35","0.92927325","직진 지시"
"261","00261.png","14","0.95608580","정지"
"262","00262.png","18","0.96248704","일반 위험 주의"
"263","00263.png","25","0.92268538","도로 공사"
"264","00264.png","1","0.92467511","제한속도 30km/h"
"265","00265.png","12","0.89458859","우선도로"
"266","00266.png","5","0.92138541","제한속도 80km/h"
"267","00267.png","25","0.93673623","도로 공사"
"268","00268.png","2","0.88318002","제한속도 50km/h"
"269","00269.png","18","0.92297858","일반 위험 주의"
"270","00270.png","18","0.97558516","일반 위험 주의"
"271","00271.png","18","0.93940157","일반 위험 주의"
"272","00272.png","34","0.96686304","좌회전 지시"
"273","00273.png","9","0.93237257","추월 금지"
"274","00274.png","25","0.92088807","도로 공사"
"275","00275.png","18","0.91712844","일반 위험 주의"
"276","00276.png","34","0.94945651","좌회전 지시"
"277","00277.png","39","0.98858553","좌측 통행"
"278","00278.png","31","0.93750769","야생동물 출현 주의"
"279","00279.png","1","0.89077157","제한속도 30km/h"
"280","00280.png","9","0.88757807","추월 금지"
"281","00281.png","35","0.89083260","직진 지시"
"282","00282.png","31","0.93107235","야생동물 출현 주의"
"283","00283.png","26","0.99085999","신호등 주의"
"284","00284.png","1","0.91300553","제한속도 30km/h"
"285","00285.png","1","0.93153691","제한속도 30km/h"
"286","00286.png","33","0.93989456","우회전 지시"
"287","00287.png","11","0.96279073","다음 교차로 우선권"
"288","00288.png","17","0.93453169","진입 금지"
"289","00289.png","13","0.89661980","양보"
"290","00290.png","1","0.93348086","제한속도 30km/h"
"291","00291.png","31","0.93047363","야생동물 출현 주의"
"292","00292.png","13","0.93183523","양보"
"293","00293.png","35","0.95133233","직진 지시"
"294","00294.png","5","0.93715149","제한속도 80km/h"
"295","00295.png","1","0.90291095","제한속도 30km/h"
"296","00296.png","33","0.94861507","우회전 지시"
"297","00297.png","28","0.98047465","어린이 보호"
"298","00298.png","35","0.93384218","직진 지시"
"299","00299.png","26","0.96887559","신호등 주의"
"300","00300.png","12","0.88639271","우선도로"
"301","00301.png","5","0.91735041","제한속도 80km/h"
"302","00302.png","2","0.91294283","제한속도 50km/h"
"303","00303.png","14","0.94824374","정지"
"304","00304.png","4","0.97495687","제한속도 70km/h"
"305","00305.png","3","0.93579733","제한속도 60km/h"
"306","00306.png","32","0.96747309","모든 속도·추월 제한 해제"
"307","00307.png","1","0.90800244","제한속도 30km/h"
"308","00308.png","7","0.93130100","제한속도 100km/h"
"309","00309.png","40","0.83696234","회전교차로"
"310","00310.png","19","0.98611790","좌측 위험 굽은도로"
"311","00311.png","11","0.91475183","다음 교차로 우선권"
"312","00312.png","38","0.90573955","우측 통행"
"313","00313.png","38","0.85269403","우측 통행"
"314","00314.png","1","0.90970999","제한속도 30km/h"
"315","00315.png","42","0.97149044","3.5톤 초과 차량 추월 금지 해제"
"316","00316.png","2","0.89632368","제한속도 50km/h"
"317","00317.png","40","0.96254140","회전교차로"
"318","00318.png","17","0.94703948","진입 금지"
"319","00319.png","4","0.92596525","제한속도 70km/h"
"320","00320.png","8","0.94283950","제한속도 120km/h"
"321","00321.png","4","0.92336059","제한속도 70km/h"
"322","00322.png","5","0.91435421","제한속도 80km/h"
"323","00323.png","6","0.96878707","제한속도 80km/h 해제"
"324","00324.png","31","0.92833328","야생동물 출현 주의"
"325","00325.png","35","0.92515039","직진 지시"
"326","00326.png","9","0.92500043","추월 금지"
"327","00327.png","38","0.91291374","우측 통행"
"328","00328.png","8","0.92795700","제한속도 120km/h"
"329","00329.png","2","0.90556496","제한속도 50km/h"
"330","00330.png","4","0.91284168","제한속도 70km/h"
"331","00331.png","18","0.95229352","일반 위험 주의"
"332","00332.png","3","0.91950434","제한속도 60km/h"
"333","00333.png","25","0.92179841","도로 공사"
"334","00334.png","10","0.91486573","3.5톤 초과 차량 추월 금지"
"335","00335.png","6","0.30374613","제한속도 80km/h 해제"
"336","00336.png","7","0.92923862","제한속도 100km/h"
"337","00337.png","34","0.93275201","좌회전 지시"
"338","00338.png","4","0.91366720","제한속도 70km/h"
"339","00339.png","23","0.77280790","미끄러운 도로"
"340","00340.png","10","0.91304648","3.5톤 초과 차량 추월 금지"
"341","00341.png","29","0.97328925","자전거 횡단 주의"
"342","00342.png","9","0.82095253","추월 금지"
"343","00343.png","2","0.85546261","제한속도 50km/h"
"344","00344.png","38","0.90397102","우측 통행"
"345","00345.png","38","0.88408345","우측 통행"
"346","00346.png","18","0.93474603","일반 위험 주의"
"347","00347.png","7","0.92685163","제한속도 100km/h"
"348","00348.png","13","0.92599732","양보"
"349","00349.png","28","0.95567930","어린이 보호"
"350","00350.png","17","0.94800198","진입 금지"
"351","00351.png","2","0.91520423","제한속도 50km/h"
"352","00352.png","16","0.97184181","3.5톤 초과 차량 통행 금지"
"353","00353.png","14","0.94987077","정지"
"354","00354.png","12","0.92052972","우선도로"
"355","00355.png","40","0.92486340","회전교차로"
"356","00356.png","35","0.96113682","직진 지시"
"357","00357.png","3","0.93097055","제한속도 60km/h"
"358","00358.png","38","0.70484155","우측 통행"
"359","00359.png","10","0.90130329","3.5톤 초과 차량 추월 금지"
"360","00360.png","9","0.93255919","추월 금지"
"361","00361.png","38","0.92259479","우측 통행"
"362","00362.png","13","0.92559576","양보"
"363","00363.png","39","0.99018151","좌측 통행"
"364","00364.png","3","0.91738081","제한속도 60km/h"
"365","00365.png","11","0.94363302","다음 교차로 우선권"
"366","00366.png","7","0.93472540","제한속도 100km/h"
"367","00367.png","38","0.92425311","우측 통행"
"368","00368.png","19","0.99391949","좌측 위험 굽은도로"
"369","00369.png","13","0.90972847","양보"
"370","00370.png","10","0.91195172","3.5톤 초과 차량 추월 금지"
"371","00371.png","18","0.88799459","일반 위험 주의"
"372","00372.png","3","0.90357715","제한속도 60km/h"
"373","00373.png","5","0.92299038","제한속도 80km/h"
"374","00374.png","26","0.96541637","신호등 주의"
"375","00375.png","1","0.92957556","제한속도 30km/h"
"376","00376.png","41","0.98234057","추월 금지 해제"
"377","00377.png","13","0.93011862","양보"
"378","00378.png","1","0.91858751","제한속도 30km/h"
"379","00379.png","18","0.95238262","일반 위험 주의"
"380","00380.png","19","0.99102861","좌측 위험 굽은도로"
"381","00381.png","13","0.90857238","양보"
"382","00382.png","38","0.86557305","우측 통행"
"383","00383.png","4","0.92175817","제한속도 70km/h"
"384","00384.png","35","0.93232477","직진 지시"
"385","00385.png","25","0.92705888","도로 공사"
"386","00386.png","34","0.90359652","좌회전 지시"
"387","00387.png","12","0.91513282","우선도로"
"388","00388.png","17","0.94592720","진입 금지"
"389","00389.png","9","0.95444518","추월 금지"
"390","00390.png","4","0.91516596","제한속도 70km/h"
"391","00391.png","33","0.93385649","우회전 지시"
"392","00392.png","28","0.96819478","어린이 보호"
"393","00393.png","2","0.93082064","제한속도 50km/h"
"394","00394.png","4","0.38191026","제한속도 70km/h"
"395","00395.png","5","0.93999392","제한속도 80km/h"
"396","00396.png","4","0.94497210","제한속도 70km/h"
"397","00397.png","38","0.92051315","우측 통행"
"398","00398.png","4","0.92149574","제한속도 70km/h"
"399","00399.png","12","0.92401284","우선도로"
"400","00400.png","38","0.89464551","우측 통행"
"401","00401.png","36","0.97443557","직진 또는 우회전 지시"
"402","00402.png","10","0.91075540","3.5톤 초과 차량 추월 금지"
"403","00403.png","0","0.92857814","제한속도 20km/h"
"404","00404.png","38","0.89015669","우측 통행"
"405","00405.png","36","0.96896231","직진 또는 우회전 지시"
"406","00406.png","8","0.91956174","제한속도 120km/h"
"407","00407.png","25","0.94230127","도로 공사"
"408","00408.png","5","0.95026803","제한속도 80km/h"
"409","00409.png","2","0.91856927","제한속도 50km/h"
"410","00410.png","25","0.92287320","도로 공사"
"411","00411.png","14","0.93931818","정지"
"412","00412.png","2","0.91337073","제한속도 50km/h"
"413","00413.png","26","0.98387408","신호등 주의"
"414","00414.png","29","0.97861940","자전거 횡단 주의"
"415","00415.png","10","0.89851904","3.5톤 초과 차량 추월 금지"
"416","00416.png","10","0.90757495","3.5톤 초과 차량 추월 금지"
"417","00417.png","14","0.93942344","정지"
"418","00418.png","9","0.92095751","추월 금지"
"419","00419.png","2","0.89376134","제한속도 50km/h"
"420","00420.png","3","0.92506748","제한속도 60km/h"
"421","00421.png","4","0.91830188","제한속도 70km/h"
"422","00422.png","19","0.99532312","좌측 위험 굽은도로"
"423","00423.png","9","0.90541244","추월 금지"
"424","00424.png","10","0.90457171","3.5톤 초과 차량 추월 금지"
"425","00425.png","13","0.91130739","양보"
"426","00426.png","13","0.91089153","양보"
"427","00427.png","20","0.96483618","우측 위험 굽은도로"
"428","00428.png","38","0.74991059","우측 통행"
"429","00429.png","34","0.95812327","좌회전 지시"
"430","00430.png","11","0.71647400","다음 교차로 우선권"
"431","00431.png","13","0.93461668","양보"
"432","00432.png","34","0.96447855","좌회전 지시"
"433","00433.png","34","0.96799457","좌회전 지시"
"434","00434.png","12","0.91299188","우선도로"
"435","00435.png","6","0.93364435","제한속도 80km/h 해제"
"436","00436.png","10","0.89553386","3.5톤 초과 차량 추월 금지"
"437","00437.png","10","0.92311013","3.5톤 초과 차량 추월 금지"
"438","00438.png","8","0.92932802","제한속도 120km/h"
"439","00439.png","3","0.89311075","제한속도 60km/h"
"440","00440.png","22","0.95290840","노면 요철"
"441","00441.png","17","0.95155066","진입 금지"
"442","00442.png","7","0.93350172","제한속도 100km/h"
"443","00443.png","30","0.97588968","빙판·눈길 주의"
"444","00444.png","25","0.93256754","도로 공사"
"445","00445.png","1","0.90629649","제한속도 30km/h"
"446","00446.png","31","0.95051700","야생동물 출현 주의"
"447","00447.png","38","0.87967336","우측 통행"
"448","00448.png","38","0.90802103","우측 통행"
"449","00449.png","8","0.93953508","제한속도 120km/h"
"450","00450.png","9","0.91767585","추월 금지"
"451","00451.png","10","0.90901196","3.5톤 초과 차량 추월 금지"
"452","00452.png","2","0.91426647","제한속도 50km/h"
"453","00453.png","40","0.94558489","회전교차로"
"454","00454.png","1","0.92392063","제한속도 30km/h"
"455","00455.png","38","0.91630590","우측 통행"
"456","00456.png","14","0.93969601","정지"
"457","00457.png","8","0.94556963","제한속도 120km/h"
"458","00458.png","39","0.98758906","좌측 통행"
"459","00459.png","6","0.97193873","제한속도 80km/h 해제"
"460","00460.png","35","0.94152462","직진 지시"
"461","00461.png","25","0.93738902","도로 공사"
"462","00462.png","25","0.93923867","도로 공사"
"463","00463.png","17","0.94258195","진입 금지"
"464","00464.png","2","0.91631228","제한속도 50km/h"
"465","00465.png","38","0.92380840","우측 통행"
"466","00466.png","7","0.93373042","제한속도 100km/h"
"467","00467.png","13","0.89686799","양보"
"468","00468.png","14","0.95776635","정지"
"469","00469.png","7","0.92608637","제한속도 100km/h"
"470","00470.png","8","0.95053315","제한속도 120km/h"
"471","00471.png","35","0.94206208","직진 지시"
"472","00472.png","3","0.88132209","제한속도 60km/h"
"473","00473.png","1","0.91392821","제한속도 30km/h"
"474","00474.png","35","0.93666124","직진 지시"
"475","00475.png","12","0.83028436","우선도로"
"476","00476.png","35","0.90616858","직진 지시"
"477","00477.png","36","0.96115839","직진 또는 우회전 지시"
"478","00478.png","24","0.96762711","우측 차로 폭 감소"
"479","00479.png","13","0.89762050","양보"
"480","00480.png","33","0.96120876","우회전 지시"
"481","00481.png","2","0.91794950","제한속도 50km/h"
"482","00482.png","35","0.94358307","직진 지시"
"483","00483.png","6","0.94786906","제한속도 80km/h 해제"
"484","00484.png","2","0.87632489","제한속도 50km/h"
"485","00485.png","10","0.90628916","3.5톤 초과 차량 추월 금지"
"486","00486.png","12","0.90912586","우선도로"
"487","00487.png","31","0.92634410","야생동물 출현 주의"
"488","00488.png","9","0.91879004","추월 금지"
"489","00489.png","14","0.94591331","정지"
"490","00490.png","17","0.92718643","진입 금지"
"491","00491.png","26","0.98183793","신호등 주의"
"492","00492.png","7","0.59506130","제한속도 100km/h"
"493","00493.png","3","0.91280174","제한속도 60km/h"
"494","00494.png","10","0.92627037","3.5톤 초과 차량 추월 금지"
"495","00495.png","5","0.93002820","제한속도 80km/h"
"496","00496.png","11","0.54645413","다음 교차로 우선권"
"497","00497.png","9","0.72928286","추월 금지"
"498","00498.png","31","0.94502884","야생동물 출현 주의"
"499","00499.png","34","0.43886805","좌회전 지시"
"500","00500.png","22","0.97254062","노면 요철"
"501","00501.png","30","0.97606963","빙판·눈길 주의"
"502","00502.png","9","0.89438128","추월 금지"
"503","00503.png","7","0.90454382","제한속도 100km/h"
"504","00504.png","23","0.92502809","미끄러운 도로"
"505","00505.png","4","0.93379998","제한속도 70km/h"
"506","00506.png","32","0.98123240","모든 속도·추월 제한 해제"
"507","00507.png","42","0.82225460","3.5톤 초과 차량 추월 금지 해제"
"508","00508.png","1","0.91623092","제한속도 30km/h"
"509","00509.png","3","0.89568436","제한속도 60km/h"
"510","00510.png","8","0.92765778","제한속도 120km/h"
"511","00511.png","2","0.91894424","제한속도 50km/h"
"512","00512.png","25","0.94518358","도로 공사"
"513","00513.png","22","0.49184227","노면 요철"
"514","00514.png","38","0.90397787","우측 통행"
"515","00515.png","33","0.91090083","우회전 지시"
"516","00516.png","3","0.91379333","제한속도 60km/h"
"517","00517.png","1","0.92045391","제한속도 30km/h"
"518","00518.png","8","0.93357414","제한속도 120km/h"
"519","00519.png","4","0.93094254","제한속도 70km/h"
"520","00520.png","18","0.93116742","일반 위험 주의"
"521","00521.png","26","0.95265841","신호등 주의"
"522","00522.png","31","0.94511318","야생동물 출현 주의"
"523","00523.png","14","0.94494528","정지"
"524","00524.png","11","0.90095866","다음 교차로 우선권"
"525","00525.png","13","0.92738193","양보"
"526","00526.png","3","0.90226358","제한속도 60km/h"
"527","00527.png","5","0.93447435","제한속도 80km/h"
"528","00528.png","18","0.93139744","일반 위험 주의"
"529","00529.png","4","0.92984295","제한속도 70km/h"
"530","00530.png","13","0.91230398","양보"
"531","00531.png","15","0.92769659","모든 차량 통행 금지"
"532","00532.png","23","0.41012636","미끄러운 도로"
"533","00533.png","1","0.90912539","제한속도 30km/h"
"534","00534.png","12","0.91409993","우선도로"
"535","00535.png","31","0.96035582","야생동물 출현 주의"
"536","00536.png","38","0.90071952","우측 통행"
"537","00537.png","6","0.96965402","제한속도 80km/h 해제"
"538","00538.png","10","0.89631665","3.5톤 초과 차량 추월 금지"
