original_row,filename,predicted_class,confidence
143,00143.png,18,0.94355309
144,00144.png,17,0.94719738
145,00145.png,25,0.92430460
146,00146.png,2,0.89498210
147,00147.png,41,0.95389503
148,00148.png,11,0.91749847
149,00149.png,21,0.97674280
150,00150.png,7,0.88607615
151,00151.png,24,0.59253722
152,00152.png,11,0.94465637
153,00153.png,25,0.93553007
154,00154.png,17,0.95037460
155,00155.png,3,0.90563697
156,00156.png,6,0.92566139
157,00157.png,9,0.86752576
158,00158.png,7,0.94041657
159,00159.png,4,0.93956929
160,00160.png,13,0.89963716
161,00161.png,16,0.98199952
162,00162.png,4,0.91769874
163,00163.png,25,0.59004450
164,00164.png,18,0.93090504
165,00165.png,9,0.93033826
166,00166.png,13,0.91711372
167,00167.png,14,0.94516015
168,00168.png,29,0.96760911
169,00169.png,17,0.93918103
170,00170.png,13,0.90882164
171,00171.png,38,0.90054733
172,00172.png,26,0.93155748
173,00173.png,25,0.94433933
174,00174.png,33,0.97585505
175,00175.png,1,0.92867893
176,00176.png,3,0.94733161
177,00177.png,40,0.91766191
178,00178.png,13,0.90402597
179,00179.png,2,0.86976713
180,00180.png,8,0.92223746
181,00181.png,4,0.92787212
182,00182.png,36,0.98030281
183,00183.png,25,0.93165588
184,00184.png,19,0.76515591
185,00185.png,25,0.91775995
186,00186.png,18,0.95222640
187,00187.png,1,0.92588806
188,00188.png,10,0.89239097
189,00189.png,8,0.94486994
190,00190.png,10,0.93462145
191,00191.png,29,0.97906727
192,00192.png,12,0.89458358
193,00193.png,38,0.87053794
194,00194.png,31,0.92856359
195,00195.png,2,0.89426339
196,00196.png,8,0.97197390
197,00197.png,38,0.83720696
198,00198.png,31,0.90915614
199,00199.png,28,0.97531432
200,00200.png,17,0.93291777
201,00201.png,9,0.90140343
202,00202.png,4,0.91077662
203,00203.png,1,0.92805701
204,00204.png,17,0.94799554
205,00205.png,9,0.91337234
206,00206.png,2,0.92008591
207,00207.png,31,0.94891554
208,00208.png,13,0.92203724
209,00209.png,15,0.94680625
210,00210.png,15,0.94704419
211,00211.png,38,0.92347920
212,00212.png,25,0.91351599
213,00213.png,5,0.94218242
214,00214.png,25,0.92587715
215,00215.png,13,0.92693263
216,00216.png,10,0.89737141
217,00217.png,5,0.91280574
218,00218.png,4,0.92561305
219,00219.png,10,0.89458388
220,00220.png,2,0.88199818
221,00221.png,4,0.91635203
222,00222.png,5,0.93836218
223,00223.png,1,0.90551865
224,00224.png,14,0.93880063
225,00225.png,12,0.91761452
226,00226.png,12,0.93160784
227,00227.png,5,0.93050098
228,00228.png,8,0.94422644
229,00229.png,36,0.97687519
230,00230.png,25,0.92875683
231,00231.png,13,0.89682299
232,00232.png,33,0.92832875
233,00233.png,18,0.95394981
234,00234.png,33,0.96975774
235,00235.png,19,0.99538761
236,00236.png,12,0.91203344
237,00237.png,20,0.81208175
238,00238.png,4,0.92725837
239,00239.png,18,0.95699024
240,00240.png,12,0.90777069
241,00241.png,13,0.91929144
242,00242.png,19,0.83154708
243,00243.png,0,0.82206899
244,00244.png,10,0.92420024
245,00245.png,40,0.89121640
246,00246.png,5,0.92193288
247,00247.png,8,0.85633481
248,00248.png,12,0.95585561
249,00249.png,38,0.93167752
250,00250.png,20,0.97358334
251,00251.png,14,0.95458496
252,00252.png,0,0.84220576
253,00253.png,36,0.97896725
254,00254.png,34,0.95947748
255,00255.png,28,0.96456772
256,00256.png,35,0.96102548
257,00257.png,13,0.90649122
258,00258.png,25,0.94345909
259,00259.png,15,0.94160593
260,00260.png,35,0.92927325
261,00261.png,14,0.95608580
262,00262.png,18,0.96248704
263,00263.png,25,0.92268538
264,00264.png,1,0.92467511
265,00265.png,12,0.89458859
266,00266.png,5,0.92138541
267,00267.png,25,0.93673623
268,00268.png,2,0.88318002
269,00269.png,18,0.92297858
270,00270.png,18,0.97558516
271,00271.png,18,0.93940157
272,00272.png,34,0.96686304
273,00273.png,9,0.93237257
274,00274.png,25,0.92088807
275,00275.png,18,0.91712844
276,00276.png,34,0.94945651
277,00277.png,39,0.98858553
278,00278.png,31,0.93750769
279,00279.png,1,0.89077157
280,00280.png,9,0.88757807
281,00281.png,35,0.89083260
282,00282.png,31,0.93107235
283,00283.png,26,0.99085999
284,00284.png,1,0.91300553
285,00285.png,1,0.93153691
286,00286.png,33,0.93989456
287,00287.png,11,0.96279073
288,00288.png,17,0.93453169
289,00289.png,13,0.89661980
290,00290.png,1,0.93348086
291,00291.png,31,0.93047363
292,00292.png,13,0.93183523
293,00293.png,35,0.95133233
294,00294.png,5,0.93715149
295,00295.png,1,0.90291095
296,00296.png,33,0.94861507
297,00297.png,28,0.98047465
298,00298.png,35,0.93384218
299,00299.png,26,0.96887559
300,00300.png,12,0.88639271
301,00301.png,5,0.91735041
302,00302.png,2,0.91294283
303,00303.png,14,0.94824374
304,00304.png,4,0.97495687
305,00305.png,3,0.93579733
306,00306.png,32,0.96747309
307,00307.png,1,0.90800244
308,00308.png,7,0.93130100
309,00309.png,40,0.83696234
310,00310.png,19,0.98611790
311,00311.png,11,0.91475183
312,00312.png,38,0.90573955
313,00313.png,38,0.85269403
314,00314.png,1,0.90970999
315,00315.png,42,0.97149044
316,00316.png,2,0.89632368
317,00317.png,40,0.96254140
318,00318.png,17,0.94703948
319,00319.png,4,0.92596525
320,00320.png,8,0.94283950
321,00321.png,4,0.92336059
322,00322.png,5,0.91435421
323,00323.png,6,0.96878707
324,00324.png,31,0.92833328
325,00325.png,35,0.92515039
326,00326.png,9,0.92500043
327,00327.png,38,0.91291374
328,00328.png,8,0.92795700
329,00329.png,2,0.90556496
330,00330.png,4,0.91284168
331,00331.png,18,0.95229352
332,00332.png,3,0.91950434
333,00333.png,25,0.92179841
334,00334.png,10,0.91486573
335,00335.png,6,0.30374613
336,00336.png,7,0.92923862
337,00337.png,34,0.93275201
338,00338.png,4,0.91366720
339,00339.png,23,0.77280790
340,00340.png,10,0.91304648
341,00341.png,29,0.97328925
342,00342.png,9,0.82095253
343,00343.png,2,0.85546261
344,00344.png,38,0.90397102
345,00345.png,38,0.88408345
346,00346.png,18,0.93474603
347,00347.png,7,0.92685163
348,00348.png,13,0.92599732
349,00349.png,28,0.95567930
350,00350.png,17,0.94800198
351,00351.png,2,0.91520423
352,00352.png,16,0.97184181
353,00353.png,14,0.94987077
354,00354.png,12,0.92052972
355,00355.png,40,0.92486340
356,00356.png,35,0.96113682
357,00357.png,3,0.93097055
358,00358.png,38,0.70484155
359,00359.png,10,0.90130329
360,00360.png,9,0.93255919
361,00361.png,38,0.92259479
362,00362.png,13,0.92559576
363,00363.png,39,0.99018151
364,00364.png,3,0.91738081
365,00365.png,11,0.94363302
366,00366.png,7,0.93472540
367,00367.png,38,0.92425311
368,00368.png,19,0.99391949
369,00369.png,13,0.90972847
370,00370.png,10,0.91195172
371,00371.png,18,0.88799459
372,00372.png,3,0.90357715
373,00373.png,5,0.92299038
374,00374.png,26,0.96541637
375,00375.png,1,0.92957556
376,00376.png,41,0.98234057
377,00377.png,13,0.93011862
378,00378.png,1,0.91858751
379,00379.png,18,0.95238262
380,00380.png,19,0.99102861
381,00381.png,13,0.90857238
382,00382.png,38,0.86557305
383,00383.png,4,0.92175817
384,00384.png,35,0.93232477
385,00385.png,25,0.92705888
386,00386.png,34,0.90359652
387,00387.png,12,0.91513282
388,00388.png,17,0.94592720
389,00389.png,9,0.95444518
390,00390.png,4,0.91516596
391,00391.png,33,0.93385649
392,00392.png,28,0.96819478
393,00393.png,2,0.93082064
394,00394.png,4,0.38191026
395,00395.png,5,0.93999392
396,00396.png,4,0.94497210
397,00397.png,38,0.92051315
398,00398.png,4,0.92149574
399,00399.png,12,0.92401284
400,00400.png,38,0.89464551
401,00401.png,36,0.97443557
402,00402.png,10,0.91075540
403,00403.png,0,0.92857814
404,00404.png,38,0.89015669
405,00405.png,36,0.96896231
406,00406.png,8,0.91956174
407,00407.png,25,0.94230127
408,00408.png,5,0.95026803
409,00409.png,2,0.91856927
410,00410.png,25,0.92287320
411,00411.png,14,0.93931818
412,00412.png,2,0.91337073
413,00413.png,26,0.98387408
414,00414.png,29,0.97861940
415,00415.png,10,0.89851904
416,00416.png,10,0.90757495
417,00417.png,14,0.93942344
418,00418.png,9,0.92095751
419,00419.png,2,0.89376134
420,00420.png,3,0.92506748
421,00421.png,4,0.91830188
422,00422.png,19,0.99532312
423,00423.png,9,0.90541244
424,00424.png,10,0.90457171
425,00425.png,13,0.91130739
426,00426.png,13,0.91089153
427,00427.png,20,0.96483618
428,00428.png,38,0.74991059
429,00429.png,34,0.95812327
430,00430.png,11,0.71647400
431,00431.png,13,0.93461668
432,00432.png,34,0.96447855
433,00433.png,34,0.96799457
434,00434.png,12,0.91299188
435,00435.png,6,0.93364435
436,00436.png,10,0.89553386
437,00437.png,10,0.92311013
438,00438.png,8,0.92932802
439,00439.png,3,0.89311075
440,00440.png,22,0.95290840
441,00441.png,17,0.95155066
442,00442.png,7,0.93350172
443,00443.png,30,0.97588968
444,00444.png,25,0.93256754
445,00445.png,1,0.90629649
446,00446.png,31,0.95051700
447,00447.png,38,0.87967336
448,00448.png,38,0.90802103
449,00449.png,8,0.93953508
450,00450.png,9,0.91767585
451,00451.png,10,0.90901196
452,00452.png,2,0.91426647
453,00453.png,40,0.94558489
454,00454.png,1,0.92392063
455,00455.png,38,0.91630590
456,00456.png,14,0.93969601
457,00457.png,8,0.94556963
458,00458.png,39,0.98758906
459,00459.png,6,0.97193873
460,00460.png,35,0.94152462
461,00461.png,25,0.93738902
462,00462.png,25,0.93923867
463,00463.png,17,0.94258195
464,00464.png,2,0.91631228
465,00465.png,38,0.92380840
466,00466.png,7,0.93373042
467,00467.png,13,0.89686799
468,00468.png,14,0.95776635
469,00469.png,7,0.92608637
470,00470.png,8,0.95053315
471,00471.png,35,0.94206208
472,00472.png,3,0.88132209
473,00473.png,1,0.91392821
474,00474.png,35,0.93666124
475,00475.png,12,0.83028436
476,00476.png,35,0.90616858
477,00477.png,36,0.96115839
478,00478.png,24,0.96762711
479,00479.png,13,0.89762050
480,00480.png,33,0.96120876
481,00481.png,2,0.91794950
482,00482.png,35,0.94358307
483,00483.png,6,0.94786906
484,00484.png,2,0.87632489
485,00485.png,10,0.90628916
486,00486.png,12,0.90912586
487,00487.png,31,0.92634410
488,00488.png,9,0.91879004
489,00489.png,14,0.94591331
490,00490.png,17,0.92718643
491,00491.png,26,0.98183793
492,00492.png,7,0.59506130
493,00493.png,3,0.91280174
494,00494.png,10,0.92627037
495,00495.png,5,0.93002820
496,00496.png,11,0.54645413
497,00497.png,9,0.72928286
498,00498.png,31,0.94502884
499,00499.png,34,0.43886805
500,00500.png,22,0.97254062
501,00501.png,30,0.97606963
502,00502.png,9,0.89438128
503,00503.png,7,0.90454382
504,00504.png,23,0.92502809
505,00505.png,4,0.93379998
506,00506.png,32,0.98123240
507,00507.png,42,0.82225460
508,00508.png,1,0.91623092
509,00509.png,3,0.89568436
510,00510.png,8,0.92765778
511,00511.png,2,0.91894424
512,00512.png,25,0.94518358
513,00513.png,22,0.49184227
514,00514.png,38,0.90397787
515,00515.png,33,0.91090083
516,00516.png,3,0.91379333
517,00517.png,1,0.92045391
518,00518.png,8,0.93357414
519,00519.png,4,0.93094254
520,00520.png,18,0.93116742
521,00521.png,26,0.95265841
522,00522.png,31,0.94511318
523,00523.png,14,0.94494528
524,00524.png,11,0.90095866
525,00525.png,13,0.92738193
526,00526.png,3,0.90226358
527,00527.png,5,0.93447435
528,00528.png,18,0.93139744
529,00529.png,4,0.92984295
530,00530.png,13,0.91230398
531,00531.png,15,0.92769659
532,00532.png,23,0.41012636
533,00533.png,1,0.90912539
534,00534.png,12,0.91409993
535,00535.png,31,0.96035582
536,00536.png,38,0.90071952
537,00537.png,6,0.96965402
538,00538.png,10,0.89631665
539,00539.png,35,0.93348771
540,00540.png,8,0.94181144
541,00541.png,6,0.93233490
542,00542.png,5,0.90942883
543,00543.png,12,0.91508210
544,00544.png,4,0.93726760
545,00545.png,1,0.91747820
546,00546.png,1,0.92240638
547,00547.png,1,0.91470295
548,00548.png,12,0.90507305
549,00549.png,12,0.83878362
550,00550.png,2,0.58723611
551,00551.png,5,0.93004626
552,00552.png,9,0.93062717
553,00553.png,13,0.90491331
554,00554.png,38,0.82407093
555,00555.png,4,0.92267329
556,00556.png,13,0.92112279
557,00557.png,8,0.92871541
558,00558.png,13,0.91789484
559,00559.png,24,0.98976505
560,00560.png,17,0.95432949
561,00561.png,10,0.89134997
562,00562.png,10,0.88573158
563,00563.png,18,0.96360874
564,00564.png,12,0.88553226
565,00565.png,20,0.29105526
566,00566.png,10,0.91238648
567,00567.png,10,0.87824512
568,00568.png,1,0.91636354
569,00569.png,23,0.88615066
570,00570.png,3,0.91666144
571,00571.png,8,0.85283858
572,00572.png,41,0.96047443
573,00573.png,6,0.96645802
574,00574.png,13,0.91906798
575,00575.png,33,0.95090723
576,00576.png,3,0.93728501
577,00577.png,2,0.88392812
578,00578.png,13,0.91088367
579,00579.png,0,0.91531688
580,00580.png,17,0.94536358
581,00581.png,10,0.90727180
582,00582.png,7,0.91865683
583,00583.png,1,0.91687161
584,00584.png,35,0.94381726
585,00585.png,10,0.90486860
586,00586.png,2,0.92059892
587,00587.png,30,0.97809237
588,00588.png,5,0.93731171
589,00589.png,5,0.92049348
590,00590.png,35,0.93676782
591,00591.png,13,0.88438642
592,00592.png,16,0.98057598
593,00593.png,17,0.95149171
594,00594.png,11,0.93155241
595,00595.png,3,0.92326444
596,00596.png,4,0.92167526
597,00597.png,29,0.97729230
598,00598.png,2,0.89302111
599,00599.png,26,0.95954347
600,00600.png,2,0.91465956
601,00601.png,11,0.92870873
602,00602.png,4,0.92148489
603,00603.png,19,0.98950166
604,00604.png,3,0.95344049
605,00605.png,9,0.92584157
606,00606.png,7,0.91591847
607,00607.png,38,0.87775445
608,00608.png,28,0.93524885
609,00609.png,9,0.91641337
610,00610.png,27,0.95572817
611,00611.png,41,0.98207182
612,00612.png,1,0.91658038
613,00613.png,29,0.97873497
614,00614.png,11,0.93048769
615,00615.png,10,0.89365184
616,00616.png,25,0.93793243
617,00617.png,1,0.91136956
618,00618.png,10,0.91822553
619,00619.png,38,0.89309305
620,00620.png,30,0.97263968
621,00621.png,14,0.95040476
622,00622.png,1,0.70181465
623,00623.png,12,0.91504049
624,00624.png,7,0.93531281
625,00625.png,13,0.91101444
626,00626.png,28,0.95486420
627,00627.png,8,0.93380463
628,00628.png,2,0.91040784
629,00629.png,17,0.95278478
630,00630.png,5,0.93417037
631,00631.png,35,0.94524789
632,00632.png,25,0.94487023
633,00633.png,8,0.93898976
634,00634.png,4,0.92627442
635,00635.png,7,0.93311930
636,00636.png,16,0.98478264
637,00637.png,31,0.56851715
638,00638.png,17,0.93751746
639,00639.png,9,0.93493843
640,00640.png,7,0.94007152
641,00641.png,8,0.92331564
642,00642.png,17,0.94546896
643,00643.png,11,0.93399471
644,00644.png,2,0.91884094
645,00645.png,13,0.91604084
646,00646.png,12,0.90196729
647,00647.png,7,0.94796324
648,00648.png,1,0.88718694
649,00649.png,2,0.91839468
650,00650.png,32,0.98328477
651,00651.png,17,0.94734240
652,00652.png,13,0.92069465
653,00653.png,5,0.93229741
654,00654.png,12,0.93018520
655,00655.png,11,0.92124003
656,00656.png,29,0.96946633
657,00657.png,13,0.92618036
658,00658.png,13,0.87432700
659,00659.png,10,0.86350763
660,00660.png,5,0.81300300
661,00661.png,13,0.86552858
662,00662.png,2,0.91243023
663,00663.png,7,0.91231114
664,00664.png,13,0.89861465
665,00665.png,10,0.90681469
666,00666.png,14,0.93678969
667,00667.png,13,0.90892327
668,00668.png,11,0.85924315
669,00669.png,4,0.91254872
670,00670.png,15,0.92800713
671,00671.png,10,0.90270174
672,00672.png,36,0.96955520
673,00673.png,35,0.93403536
674,00674.png,26,0.96040547
675,00675.png,0,0.89990294
676,00676.png,25,0.92397946
677,00677.png,18,0.92660964
678,00678.png,29,0.97006828
679,00679.png,8,0.93360353
680,00680.png,13,0.91843414
681,00681.png,14,0.95927262
682,00682.png,33,0.79818302
683,00683.png,12,0.92829084
684,00684.png,35,0.93909848
685,00685.png,35,0.92813659
686,00686.png,14,0.93523496
687,00687.png,25,0.90532339
688,00688.png,17,0.94455677
689,00689.png,34,0.97225475
690,00690.png,5,0.92043811
691,00691.png,4,0.92766148
692,00692.png,4,0.91770566
693,00693.png,13,0.93697321
694,00694.png,29,0.97857398
695,00695.png,4,0.93526906
696,00696.png,5,0.84363639
697,00697.png,8,0.94748890
698,00698.png,1,0.91339195
699,00699.png,2,0.89916879
700,00700.png,3,0.92348599
701,00701.png,4,0.93301427
702,00702.png,39,0.99055040
703,00703.png,12,0.91497523
704,00704.png,7,0.94415164
705,00705.png,16,0.98870033
706,00706.png,12,0.92905957
707,00707.png,12,0.93251091
708,00708.png,18,0.92886513
709,00709.png,16,0.96828574
710,00710.png,2,0.81133544
711,00711.png,36,0.97940183
712,00712.png,11,0.94418514
713,00713.png,39,0.98722041
714,00714.png,4,0.92036712
715,00715.png,6,0.95858544
716,00716.png,2,0.87017512
717,00717.png,36,0.96936047
718,00718.png,1,0.88280803
719,00719.png,5,0.92281264
720,00720.png,10,0.90531665
721,00721.png,13,0.87690568
722,00722.png,5,0.92335963
723,00723.png,30,0.96098202
724,00724.png,38,0.91766483
725,00725.png,13,0.92514390
726,00726.png,14,0.91186529
727,00727.png,11,0.79351288
728,00728.png,11,0.94117814
729,00729.png,35,0.94446951
730,00730.png,25,0.93334490
731,00731.png,2,0.74320680
732,00732.png,14,0.93398494
733,00733.png,38,0.60458350
734,00734.png,15,0.93948871
735,00735.png,38,0.91993415
736,00736.png,39,0.99408025
737,00737.png,38,0.90044588
738,00738.png,4,0.91875964
739,00739.png,1,0.88854653
740,00740.png,3,0.90786421
741,00741.png,1,0.88575608
742,00742.png,35,0.95571512
743,00743.png,17,0.93757081
744,00744.png,4,0.91320628
745,00745.png,17,0.95087814
746,00746.png,4,0.93113655
747,00747.png,2,0.91546679
748,00748.png,5,0.92330801
749,00749.png,30,0.98371947
750,00750.png,10,0.90157235
751,00751.png,28,0.98617703
752,00752.png,9,0.92535383
753,00753.png,28,0.97695708
754,00754.png,22,0.94210589
755,00755.png,42,0.94760877
756,00756.png,2,0.87925428
757,00757.png,12,0.94898587
758,00758.png,3,0.91110468
759,00759.png,23,0.67552406
760,00760.png,3,0.90641236
761,00761.png,13,0.89675218
762,00762.png,10,0.92365777
763,00763.png,3,0.92050904
764,00764.png,12,0.90595102
765,00765.png,4,0.92422235
766,00766.png,1,0.90190405
767,00767.png,5,0.93782318
768,00768.png,3,0.92101860
769,00769.png,9,0.89371467
770,00770.png,10,0.91838497
771,00771.png,4,0.92442858
772,00772.png,13,0.89939916
773,00773.png,28,0.94959903
774,00774.png,3,0.88854069
775,00775.png,4,0.91307855
776,00776.png,15,0.91704756
777,00777.png,15,0.92830360
778,00778.png,0,0.86159492
779,00779.png,33,0.93325645
780,00780.png,2,0.75902456
781,00781.png,39,0.95851624
782,00782.png,12,0.91690779
783,00783.png,38,0.90577579
784,00784.png,7,0.93590468
785,00785.png,10,0.90255976
786,00786.png,2,0.88794035
787,00787.png,10,0.88451189
788,00788.png,2,0.91123718
789,00789.png,38,0.91420418
790,00790.png,2,0.91483849
791,00791.png,5,0.93589360
792,00792.png,1,0.92902130
793,00793.png,3,0.90976095
794,00794.png,1,0.63527292
795,00795.png,42,0.97693491
796,00796.png,15,0.92372465
797,00797.png,15,0.94395083
798,00798.png,4,0.93913919
799,00799.png,15,0.93443990
800,00800.png,38,0.89484978
801,00801.png,25,0.91273564
802,00802.png,5,0.92453361
803,00803.png,5,0.90668362
804,00804.png,12,0.92677391
805,00805.png,2,0.91646063
806,00806.png,26,0.98209828
807,00807.png,0,0.95277268
808,00808.png,17,0.94053888
809,00809.png,0,0.89923882
810,00810.png,26,0.94308627
811,00811.png,31,0.93340158
812,00812.png,4,0.91177094
813,00813.png,13,0.84187186
814,00814.png,17,0.95354229
815,00815.png,1,0.88531297
816,00816.png,11,0.94740373
817,00817.png,8,0.94091666
818,00818.png,1,0.93614519
819,00819.png,2,0.89925772
820,00820.png,4,0.91726553
821,00821.png,14,0.95524681
822,00822.png,3,0.90331835
823,00823.png,4,0.91795421
824,00824.png,25,0.90451032
825,00825.png,4,0.93232799
826,00826.png,15,0.93918693
827,00827.png,2,0.88897526
828,00828.png,38,0.91182971
829,00829.png,27,0.95000613
830,00830.png,37,0.98844689
831,00831.png,7,0.92970932
832,00832.png,1,0.89683193
833,00833.png,18,0.96122843
834,00834.png,28,0.49407151
835,00835.png,11,0.94004339
836,00836.png,10,0.92711276
837,00837.png,9,0.92184037
838,00838.png,15,0.93417633
839,00839.png,11,0.95156437
840,00840.png,12,0.91754669
841,00841.png,10,0.91479111
842,00842.png,13,0.92412716
843,00843.png,13,0.92536277
844,00844.png,25,0.93448091
845,00845.png,4,0.94071895
846,00846.png,1,0.90297949
847,00847.png,38,0.92595029
848,00848.png,12,0.89549541
849,00849.png,23,0.89508426
850,00850.png,10,0.89687997
851,00851.png,2,0.89212847
852,00852.png,1,0.90917087
853,00853.png,29,0.97796613
854,00854.png,24,0.98703426
855,00855.png,10,0.91595286
856,00856.png,1,0.90203965
857,00857.png,28,0.97883636
858,00858.png,3,0.92502034
859,00859.png,11,0.86096281
860,00860.png,5,0.94492102
861,00861.png,6,0.94453424
862,00862.png,9,0.95759118
863,00863.png,2,0.88536066
864,00864.png,1,0.87920129
865,00865.png,33,0.94966894
866,00866.png,3,0.89024633
867,00867.png,9,0.91040426
868,00868.png,25,0.92745245
869,00869.png,16,0.97782701
870,00870.png,42,0.97992468
871,00871.png,35,0.94235206
872,00872.png,10,0.92358279
873,00873.png,28,0.98639929
874,00874.png,4,0.93411756
875,00875.png,1,0.91421604
876,00876.png,7,0.89232689
877,00877.png,5,0.95922625
878,00878.png,3,0.92301208
879,00879.png,30,0.49077931
880,00880.png,1,0.89511561
881,00881.png,1,0.91233593
882,00882.png,10,0.82218105
883,00883.png,30,0.98371190
884,00884.png,35,0.93218297
885,00885.png,24,0.93785924
886,00886.png,33,0.88346845
887,00887.png,1,0.91772592
888,00888.png,12,0.91218120
889,00889.png,2,0.88266343
890,00890.png,13,0.90936852
891,00891.png,13,0.90248454
892,00892.png,33,0.93890381
893,00893.png,17,0.94104028
894,00894.png,35,0.68658173
895,00895.png,5,0.93159884
896,00896.png,15,0.91149580
897,00897.png,31,0.93642074
898,00898.png,33,0.90521663
899,00899.png,42,0.97007972
900,00900.png,11,0.92753553
901,00901.png,24,0.99347609
902,00902.png,38,0.91318679
903,00903.png,4,0.92114818
904,00904.png,27,0.47969568
905,00905.png,7,0.92943990
906,00906.png,13,0.93337679
907,00907.png,21,0.99012870
908,00908.png,38,0.78352141
909,00909.png,38,0.91427606
910,00910.png,1,0.89532852
911,00911.png,13,0.90140736
912,00912.png,23,0.79886109
913,00913.png,13,0.88592738
914,00914.png,18,0.86286306
915,00915.png,13,0.91308206
916,00916.png,13,0.90504289
917,00917.png,38,0.92389572
918,00918.png,35,0.93913347
919,00919.png,5,0.94330800
920,00920.png,12,0.89941227
921,00921.png,25,0.96304035
922,00922.png,4,0.91668659
923,00923.png,1,0.90751672
924,00924.png,19,0.99161667
925,00925.png,3,0.92115939
926,00926.png,9,0.90604299
927,00927.png,2,0.90335745
928,00928.png,3,0.90066236
929,00929.png,17,0.92657995
930,00930.png,38,0.92183906
